source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
bronze,sales_data_1,transaction_id,bronze,sales_data_1,transaction_id,copy,
bronze,sales_data_1,transaction_date,bronze,sales_data_1,transaction_date,standardize_date,parse date with formats MM/dd/yyyy or yyyy-MM-dd to yyyy-MM-dd
bronze,sales_data_1,store_id,bronze,sales_data_1,store_id,copy,
bronze,sales_data_1,product_id,bronze,sales_data_1,product_id,copy,
bronze,sales_data_1,product_name,bronze,sales_data_1,product_name,copy,
bronze,sales_data_1,category,bronze,sales_data_1,category,copy,
bronze,sales_data_1,quantity,bronze,sales_data_1,quantity,clean_numeric,replace negative values with null or set to zero as per business rule
bronze,sales_data_1,unit_price,bronze,sales_data_1,unit_price,copy,
bronze,sales_data_1,total_amount,bronze,sales_data_1,total_amount,clean_numeric,replace negative values with null or set to zero as per business rule
bronze,sales_data_1,customer_segment,bronze,sales_data_1,customer_segment,standardize_category,correct known misspellings (e.g., "Prem" to "Premium")
bronze,sales_data_1,payment_method,bronze,sales_data_1,payment_method,copy,
bronze,products,product_id,bronze,products,product_id,copy,
bronze,products,product_name,bronze,products,product_name,copy,
bronze,products,category,bronze,products,category,copy,
bronze,products,standard_price,bronze,products,standard_price,copy,
bronze,_,_load_timestamp,bronze,_,_load_timestamp,metadata_injection,current timestamp at load
bronze,_,_source_file,bronze,_,_source_file,metadata_injection,source file name at load
